id	name	category	subCategory	price	secondaryPrice	description	image	isVeg	isAvailable	isPopular
biryani-chicken	Chicken Biryani	Biryani	Hyderabadi Dum	180	120	Aromatic long-grain basmati rice cooked on dum with tender marinated chicken pieces, rich Indian spices, served with raita and salan.	https://images.unsplash.com/photo-1563379091339-03b21ab4a4f8?w=800&auto=format&fit=crop&q=80	FALSE	TRUE	TRUE
starter-chicken-65	Chicken 65	Chicken	Dry Appetizer	160	100	Crispy deep-fried chicken tossed with spicy red chilli paste, mustard seeds, curry leaves, and green chillies.	https://images.unsplash.com/photo-1610057099443-fde8c4d50f91?w=800&auto=format&fit=crop&q=80	FALSE	TRUE	TRUE
chicken-angara	Chicken Angara	Chicken	Gravy	150		Smoky, fiery, slow-cooked chicken gravy infused with charcoal aroma, crushed spices, and rich tomato-onion paste.	https://images.unsplash.com/photo-1588166524941-3bf61a9c41db?w=800&auto=format&fit=crop&q=80	FALSE	TRUE	TRUE
chinese-chicken-fried-rice	Chicken Fried Rice	Fried Rice	Wok Fried	140	90	Wok-tossed fragrant basmati rice with shredded juicy chicken, eggs, diced carrots, beans, spring onion, and oriental sauces.	https://images.unsplash.com/photo-1603133872878-684f208fb84b?w=800&auto=format&fit=crop&q=80	FALSE	TRUE	TRUE
paneer-tikka-masala	Paneer Tikka Masala	Paneer	North Indian Gravy	180		Clay-oven roasted cottage cheese cubes bathed in a creamy, velvety spiced tomato and cashew nut gravy.	https://images.unsplash.com/photo-1631452180519-c014fe946bc7?w=800&auto=format&fit=crop&q=80	TRUE	TRUE	TRUE
prawn-masala	Prawn Masala	Prawn	Seafood Special	220		Succulent coastal fresh prawns cooked in a pungent blend of roasted spices, ginger-garlic, curry leaves, and thick onion masala.	https://images.unsplash.com/photo-1559847844-5315695dadae?w=800&auto=format&fit=crop&q=80	FALSE	TRUE	TRUE
soup-veg-manchow	Veg Manchow Soup	Soup		80		Zesty Indo-Chinese thick soup with minced garden vegetables, garlic, coriander, topped with crunchy fried noodles.	https://images.unsplash.com/photo-1547592166-23ac45744acd?w=800&auto=format&fit=crop&q=80	TRUE	TRUE	FALSE
soup-chicken-manchow	Chicken Manchow Soup	Soup		110		Hearty spicy broth loaded with chicken shreds, egg drop, soy garlic, and crunchy noodles.	https://images.unsplash.com/photo-1547592166-23ac45744acd?w=800&auto=format&fit=crop&q=80	FALSE	TRUE	FALSE
soup-sweet-corn-veg	Sweet Corn Veg Soup	Soup		80		Velvety mild soup loaded with sweet American corn kernels, carrots, and spring cabbage.	https://images.unsplash.com/photo-1547592180-85f173990554?w=800&auto=format&fit=crop&q=80	TRUE	TRUE	FALSE
soup-hot-sour-chicken	Chicken Hot & Sour Soup	Soup		110		Classic tangy and spicy broth loaded with chicken ribbons, mushrooms, bamboo shoots, and vinegar pepper.	https://images.unsplash.com/photo-1607528971899-2e89e6c0ec69?w=800&auto=format&fit=crop&q=80	FALSE	TRUE	FALSE
salad-green	Fresh Green Salad	Salad		50		Farm-fresh garden slices of cucumber, juicy tomatoes, red onions, radish, lemon wedge, and green chilli.	https://images.unsplash.com/photo-1512621776951-a57141f2eefd?w=800&auto=format&fit=crop&q=80	TRUE	TRUE	FALSE
salad-onion	Laccha Onion Salad	Salad		40		Crisp thin onion rings dusted with chat masala, fresh chopped coriander, and freshly squeezed lemon juice.	https://images.unsplash.com/photo-1540420773420-3366772f4999?w=800&auto=format&fit=crop&q=80	TRUE	TRUE	FALSE
papad-masala	Masala Papad	Papad		40		Crispy roasted lentil papad topped with spicy onion-tomato salsa, green chillies, chaat masala, and fresh coriander.	https://images.unsplash.com/photo-1589301760014-d929f3979dbc?w=800&auto=format&fit=crop&q=80	TRUE	TRUE	FALSE
papad-roasted	Roasted Papad	Papad		20		Traditional crisp lentil cracker gently fire-roasted on open flame.	https://images.unsplash.com/photo-1601050690597-df0568f70950?w=800&auto=format&fit=crop&q=80	TRUE	TRUE	FALSE
pakoda-chicken	Chicken Pakoda	Pakoda		150	90	Juicy spiced chicken nuggets dipped in seasoned gram flour batter, deep fried till golden crunch, served with mint chutney.	https://images.unsplash.com/photo-1567188040759-fb8a883dc6d8?w=800&auto=format&fit=crop&q=80	FALSE	TRUE	FALSE
pakoda-paneer	Paneer Pakoda	Pakoda		120		Tender cottage cheese stuffed with tangy mint chutney, batter-fried crisp.	https://images.unsplash.com/photo-1601050690597-df0568f70950?w=800&auto=format&fit=crop&q=80	TRUE	TRUE	FALSE
pakoda-onion	Onion Pakoda	Pakoda		70		Classic Odia evening snack of shredded red onions fried with carom seeds and green chillies.	https://images.unsplash.com/photo-1601050690597-df0568f70950?w=800&auto=format&fit=crop&q=80	TRUE	TRUE	FALSE
roll-chicken-egg	Chicken Egg Roll	Roll		90		Flaky paratha layered with beaten egg, stuffed with spiced sautéed chicken, crunchy sliced onions, and tangy house sauce.	https://images.unsplash.com/photo-1626777552726-4a6b54c97e46?w=800&auto=format&fit=crop&q=80	FALSE	TRUE	FALSE
roll-double-egg	Double Egg Roll	Roll		60		Golden crisped paratha lined with two seasoned eggs, layered with pickled onion rings and chilli sauce.	https://images.unsplash.com/photo-1626777552726-4a6b54c97e46?w=800&auto=format&fit=crop&q=80	FALSE	TRUE	FALSE
roll-paneer	Paneer Roll	Roll		75		Soft paratha rolled with tawa paneer chunks, crisp bell peppers, and spiced mint mayonnaise.	https://images.unsplash.com/photo-1626777552726-4a6b54c97e46?w=800&auto=format&fit=crop&q=80	TRUE	TRUE	FALSE
noodles-veg-hakka	Veg Hakka Noodles	Noodles		90	60	Slender Chinese noodles tossed in smoking wok with julienned cabbage, capsicum, carrots, and light soy sauce.	https://images.unsplash.com/photo-1585032226651-759b368d7246?w=800&auto=format&fit=crop&q=80	TRUE	TRUE	FALSE
noodles-chicken-hakka	Chicken Hakka Noodles	Noodles		130	85	Stir-fried noodles with chicken ribbons, scrambled eggs, shredded vegetables, and dark soy pepper sauce.	https://images.unsplash.com/photo-1585032226651-759b368d7246?w=800&auto=format&fit=crop&q=80	FALSE	TRUE	FALSE
noodles-chicken-schezwan	Schezwan Chicken Noodles	Noodles		140		Fiery noodles tossed in homemade spicy Schezwan chilli pepper sauce with chicken and crisp vegetables.	https://images.unsplash.com/photo-1569718212165-3a8278d5f624?w=800&auto=format&fit=crop&q=80	FALSE	TRUE	FALSE
rice-veg-fried	Veg Fried Rice	Fried Rice		100	70	Wok tossed fragrant rice loaded with finely diced carrots, French beans, and aromatic spring onions.	https://images.unsplash.com/photo-1603133872878-684f208fb84b?w=800&auto=format&fit=crop&q=80	TRUE	TRUE	FALSE
rice-egg-fried	Egg Fried Rice	Fried Rice		110	80	Fluffy long grain rice wok-tossed with fluffy scrambled eggs, pepper, and fresh scallions.	https://images.unsplash.com/photo-1603133872878-684f208fb84b?w=800&auto=format&fit=crop&q=80	FALSE	TRUE	FALSE
rice-mixed-special	Mirch Masala Special Mixed Fried Rice	Fried Rice		180		Chef signature combination fried rice loaded with chicken, tender prawns, egg drops, and seasonal vegetables.	https://images.unsplash.com/photo-1603133872878-684f208fb84b?w=800&auto=format&fit=crop&q=80	FALSE	TRUE	FALSE
veg-mix-vegetable	Mix Vegetable Curry	Vegetable		120		Garden fresh seasonal vegetables, green peas, carrots, cauliflower tossed in homestyle onion-tomato gravy.	https://images.unsplash.com/photo-1546833999-b9f581a1996d?w=800&auto=format&fit=crop&q=80	TRUE	TRUE	FALSE
veg-kolhapuri	Veg Kolhapuri	Vegetable		130		Spicy Maharastrian style mixed vegetable preparation in thick fiery red coconut and dried chilli gravy.	https://images.unsplash.com/photo-1546833999-b9f581a1996d?w=800&auto=format&fit=crop&q=80	TRUE	TRUE	FALSE
veg-aloo-dum	Kashmiri Aloo Dum	Vegetable		110		Baby potatoes slow simmered in rich yoghurt and fennel-scented gravy.	https://images.unsplash.com/photo-1589301760014-d929f3979dbc?w=800&auto=format&fit=crop&q=80	TRUE	TRUE	FALSE
mushroom-masala	Mushroom Masala	Mushroom		150		Fresh button mushrooms simmered in a spiced onion, tomato, and cashew nut brown curry.	https://images.unsplash.com/photo-1541832676-9b763b0239ab?w=800&auto=format&fit=crop&q=80	TRUE	TRUE	FALSE
mushroom-chilli	Mushroom Chilli	Mushroom		140		Batter coated fried mushrooms tossed with crisp capsicum, onion dice, and tangy green chilli soy sauce.	https://images.unsplash.com/photo-1541832676-9b763b0239ab?w=800&auto=format&fit=crop&q=80	TRUE	TRUE	FALSE
mushroom-kadai	Kadai Mushroom	Mushroom		160		Plump button mushrooms cooked with crushed coriander seeds, bell peppers, and fragrant kadai masala.	https://images.unsplash.com/photo-1541832676-9b763b0239ab?w=800&auto=format&fit=crop&q=80	TRUE	TRUE	FALSE
paneer-butter-masala	Paneer Butter Masala	Paneer		170		Melt-in-mouth cottage cheese cubes simmered in butter-rich silk tomato gravy with fenugreek leaves.	https://images.unsplash.com/photo-1631452180519-c014fe946bc7?w=800&auto=format&fit=crop&q=80	TRUE	TRUE	FALSE
paneer-kadai	Kadai Paneer	Paneer		160		Paneer cubes and crunchy bell peppers tossed in thick rustic gravy cooked in traditional iron wok.	https://images.unsplash.com/photo-1565557623262-b51c2513a641?w=800&auto=format&fit=crop&q=80	TRUE	TRUE	FALSE
paneer-chilli	Chilli Paneer (Dry/Gravy)	Paneer		150		Crispy fried paneer cubes tossed with red and green chillies, spring onions, garlic, and soya sauce.	https://images.unsplash.com/photo-1567188040759-fb8a883dc6d8?w=800&auto=format&fit=crop&q=80	TRUE	TRUE	FALSE
chicken-butter-masala	Chicken Butter Masala	Chicken		190	130	Tender chicken pieces cooked in a silky, creamy butter and tomato reduction with aromatic kasuri methi.	https://images.unsplash.com/photo-1603894584373-5ac82b2ae398?w=800&auto=format&fit=crop&q=80	FALSE	TRUE	FALSE
chicken-kadai	Kadai Chicken	Chicken		170	110	Chicken pieces braised with roasted coriander seeds, red dry chillies, and bell peppers in a semi-dry gravy.	https://images.unsplash.com/photo-1588166524941-3bf61a9c41db?w=800&auto=format&fit=crop&q=80	FALSE	TRUE	FALSE
chicken-chilli	Chilli Chicken Dry	Chicken		160	100	All-time favorite crispy fried chicken tossed in hot wok with green chillies, ginger, and soy sauce.	https://images.unsplash.com/photo-1610057099443-fde8c4d50f91?w=800&auto=format&fit=crop&q=80	FALSE	TRUE	FALSE
