id,name,category,subCategory,price,secondaryPrice,description,image,isVeg,isAvailable,isPopular
biryani-chicken,Chicken Biryani,Biryani,Hyderabadi Dum,180,120,"Aromatic long-grain basmati rice cooked on dum with tender marinated chicken pieces, rich Indian spices, served with raita and salan.",https://images.unsplash.com/photo-1563379091339-03b21ab4a4f8?w=800&auto=format&fit=crop&q=80,FALSE,TRUE,TRUE
starter-chicken-65,Chicken 65,Chicken,Dry Appetizer,160,100,"Crispy deep-fried chicken tossed with spicy red chilli paste, mustard seeds, curry leaves, and green chillies.",https://images.unsplash.com/photo-1610057099443-fde8c4d50f91?w=800&auto=format&fit=crop&q=80,FALSE,TRUE,TRUE
chicken-angara,Chicken Angara,Chicken,Gravy,150,,"Smoky, fiery, slow-cooked chicken gravy infused with charcoal aroma, crushed spices, and rich tomato-onion paste.",https://images.unsplash.com/photo-1588166524941-3bf61a9c41db?w=800&auto=format&fit=crop&q=80,FALSE,TRUE,TRUE
paneer-butter-masala,Paneer Butter Masala,Paneer,Curry,140,90,"Cottage cheese cubes bathed in a rich, buttery, velvety tomato gravy infused with fresh cream and aromatic kasuri methi.",https://images.unsplash.com/photo-1631452180519-c014fe946bc7?w=800&auto=format&fit=crop&q=80,TRUE,TRUE,TRUE
mutton-rogan-josh,Mutton Rogan Josh,Mutton,Specialty,240,160,"Kashmiri style tender mutton braised in an aromatic gravy of browned onions, Kashmiri dried red chillies, and warm spices.",https://images.unsplash.com/photo-1545247181-516773cae754?w=800&auto=format&fit=crop&q=80,FALSE,TRUE,TRUE
tandoori-chicken,Tandoori Chicken,Tandoori,Clay Oven,220,130,"Whole chicken marinated overnight in Greek yogurt, mustard oil, and kashmiri spices, grilled in a traditional tandoor.",https://images.unsplash.com/photo-1626777552726-4a6b54c97e46?w=800&auto=format&fit=crop&q=80,FALSE,TRUE,TRUE
prawn-malai-curry,Prawn Malai Curry,Prawn,Coastal,210,,"Succulent fresh prawns gently simmered in mild coconut milk, green cardamom, and turmeric sauce.",https://images.unsplash.com/photo-1559847844-5315695dadae?w=800&auto=format&fit=crop&q=80,FALSE,TRUE,FALSE
veg-fried-rice,Veg Fried Rice,Fried Rice,Chinese Wok,110,70,"Wok-tossed steamed rice with finely diced carrots, beans, spring onions, and toasted garlic.",https://images.unsplash.com/photo-1603133872878-684f208fb84b?w=800&auto=format&fit=crop&q=80,TRUE,TRUE,FALSE
masala-papad,Masala Papad,Papad,Starter,35,,"Crispy fried urad dal papad topped with finely chopped onions, juicy tomatoes, fresh coriander, and tangy chaat masala.",https://images.unsplash.com/photo-1601050690597-df0568f70950?w=800&auto=format&fit=crop&q=80,TRUE,TRUE,FALSE
soft-drinks,Chilled Soft Drink (Can),Soft Drinks,Beverage,40,,"Chilled carbonated refreshment (Thums Up, Sprite, or Coca-Cola 300ml).",https://images.unsplash.com/photo-1551024709-8f23befc6f87?w=800&auto=format&fit=crop&q=80,TRUE,TRUE,FALSE
